predictor,false_positive_rate,true_positive_rate,threshold
WER,0.3188405797101449,0.773067331670823,0.368421053
WER,0.3333333333333333,0.7780548628428927,0.366666667
WER,0.34782608695652173,0.7855361596009975,0.363636364
WER,0.36231884057971014,0.7880299251870324,0.361111111
WER,0.36231884057971014,0.7905236907730673,0.36
WER,0.37681159420289856,0.7930174563591023,0.357142857
WER,0.37681159420289856,0.7955112219451371,0.35483871
WER,0.391304347826087,0.7980049875311721,0.352941176
WER,0.4057971014492754,0.7980049875311721,0.351351351
WER,0.4057971014492754,0.8029925187032418,0.35
WER,0.4057971014492754,0.8054862842892768,0.346153846
WER,0.463768115942029,0.8179551122194514,0.333333333
WER,0.4782608695652174,0.8179551122194514,0.321428571
WER,0.4927536231884058,0.8204488778054863,0.32
WER,0.5217391304347826,0.827930174563591,0.318181818
WER,0.5217391304347826,0.830423940149626,0.315789474
WER,0.5217391304347826,0.8403990024937655,0.314285714
WER,0.5217391304347826,0.8428927680798005,0.3125
WER,0.5217391304347826,0.8503740648379052,0.304347826
WER,0.6231884057971014,0.8553615960099751,0.3
WER,0.6231884057971014,0.85785536159601,0.296296296
WER,0.6376811594202898,0.8603491271820449,0.294117647
WER,0.6521739130434783,0.8678304239401496,0.291666667
WER,0.6811594202898551,0.8753117206982544,0.285714286
WER,0.6956521739130435,0.8778054862842892,0.28
WER,0.6956521739130435,0.8802992518703242,0.277777778
WER,0.6956521739130435,0.8977556109725686,0.272727273
WER,0.6956521739130435,0.9052369077306733,0.259259259
WER,0.7101449275362319,0.9077306733167082,0.25
WER,0.7101449275362319,0.9102244389027432,0.24137931
WER,0.7246376811594203,0.912718204488778,0.24
WER,0.7246376811594203,0.9152119700748129,0.238095238
WER,0.7246376811594203,0.9226932668329177,0.235294118
WER,0.7246376811594203,0.9251870324189526,0.233333333
WER,0.7681159420289855,0.9276807980049875,0.230769231
WER,0.7681159420289855,0.9301745635910225,0.228571429
WER,0.7681159420289855,0.942643391521197,0.222222222
WER,0.7971014492753623,0.942643391521197,0.217391304
WER,0.7971014492753623,0.9451371571072319,0.214285714
WER,0.7971014492753623,0.9501246882793017,0.210526316
WER,0.8115942028985508,0.9551122194513716,0.2
WER,0.8260869565217391,0.9625935162094763,0.19047619
WER,0.8260869565217391,0.9675810473815462,0.1875
WER,0.855072463768116,0.9675810473815462,0.173913043
WER,0.855072463768116,0.972568578553616,0.166666667
WER,0.8695652173913043,0.972568578553616,0.16
WER,0.8695652173913043,0.9800498753117207,0.15
WER,0.8840579710144928,0.9850374064837906,0.142857143
WER,0.8985507246376812,0.9850374064837906,0.136363636
WER,0.927536231884058,0.9875311720698254,0.130434783
WER,0.927536231884058,0.9925187032418953,0.111111111
WER,0.9420289855072463,0.9950124688279302,0.1
WER,0.9420289855072463,0.9975062344139651,0.090909091
WER,0.9565217391304348,0.9975062344139651,0.083333333
WER,0.9565217391304348,1.0,0.066666667
WER,1.0,1.0,0.0
Answer-span loss,0.0,0.0,inf
Answer-span loss,0.17391304347826086,0.9625935162094763,1.0
Answer-span loss,1.0,1.0,0.0
